Start Time:  9/3/25 5:45:48 PM            Time Completed:  9/3/25 6:15:53 PM        Elapsed Time:  00:30:04
Sample ID:     LL02_20kG_MF_v2

Experiment:    C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.exp
Data File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.txt
Plot File:     C:\IDEASVSM\Elin\LL02_20kG_MF_v2.oc2
VSM Exp File:  C:\IDEASVSM\Elin\Experiments\ciclo1T\ciclo1T.stp
VSM Data File: C:\IDEASVSM\Elin\LL02_20kG_MF_v2.dat

***DATA***

Field(G)	 Moment(emu)	
-8907.45 	-0.0117547 	
-8713.33 	-0.0116751 	
-8518.28 	-0.0115963 	
-8325.04 	-0.0115027 	
-8129.35 	-0.011414 	
-7934.89 	-0.0113171 	
-7741.26 	-0.0112354 	
-7545.4 	-0.0111477 	
-7350.81 	-0.0110557 	
-7157.4 	-0.0109723 	
-6961.74 	-0.0108701 	
-6768.05 	-0.0107775 	
-6572.24 	-0.0106883 	
-6377.61 	-0.0106015 	
-6184.01 	-0.0104987 	
-5988.34 	-0.0103891 	
-5793.42 	-0.0103098 	
-5599.71 	-0.0102146 	
-5403.88 	-0.0101219 	
-5208.86 	-0.0100221 	
-5014.94 	-0.00991475 	
-4819.08 	-0.00982053 	
-4624.16 	-0.00971554 	
-4429.73 	-0.00960878 	
-4233.69 	-0.00952257 	
-4040.02 	-0.00941469 	
-3843.87 	-0.00930356 	
-3648.7 	-0.00918993 	
-3455.37 	-0.0090593 	
-3259.07 	-0.00896077 	
-3064.35 	-0.00882934 	
-2870.65 	-0.00871753 	
-2674.2 	-0.00858948 	
-2479.58 	-0.00847461 	
-2284.87 	-0.00833288 	
-2088.26 	-0.00821881 	
-1894.54 	-0.00808208 	
-1698.1 	-0.00797119 	
-1503.14 	-0.00781322 	
-1309.68 	-0.0076981 	
-1113.71 	-0.00757085 	
-919.19 	-0.00743261 	
-724.643 	-0.00728476 	
-528.241 	-0.00713051 	
-333.269 	-0.00699294 	
-139.161 	-0.00682613 	
 56.8721 	-0.0066407 	
 251.165 	-0.00646976 	
 447.26 	-0.00628387 	
 641.801 	-0.00611938 	
 836.037 	-0.0059607 	
 1032.33 	-0.0057966 	
 1227.57 	-0.00564215 	
 1422.31 	-0.00545402 	
 1618.18 	-0.00529909 	
 1812.77 	-0.00513003 	
 2007.91 	-0.00498643 	
 2203.63 	-0.00480828 	
 2397.28 	-0.00464282 	
 2593.52 	-0.00447636 	
 2788.49 	-0.00431872 	
 2982.52 	-0.00415003 	
 3178.66 	-0.00397816 	
 3374 	-0.00380116 	
 3568.09 	-0.00363107 	
 3764.65 	-0.00345625 	
 3959.06 	-0.00327169 	
 4154.11 	-0.00309315 	
 4349.68 	-0.00288884 	
 4543.42 	-0.00269626 	
 4739.33 	-0.00249312 	
 4934.4 	-0.00228195 	
 5127.64 	-0.00206731 	
 5324.21 	-0.00183662 	
 5519.15 	-0.00159321 	
 5713.16 	-0.00130837 	
 5909.51 	-0.00101545 	
 6103.39 	-0.000699877 	
 6298.89 	-0.000331593 	
 6494.32 	 0.000095143 	
